state_code,states,locations,year,total,latitude,longitude
AD,Andhra Pradesh,Commercial Buildings,2016,8,26.7499809,94.21666744
AD,Andhra Pradesh,Residential Buildings,2016,454,26.7499809,94.21666744
AD,Andhra Pradesh,Government Buildings ,2016,0,26.7499809,94.21666744
AD,Andhra Pradesh,Mines,2016,0,26.7499809,94.21666744
AD,Andhra Pradesh,Factory Manufacturing,2016,4,26.7499809,94.21666744
AD,Andhra Pradesh,Other Factories ,2016,0,25.78541445,87.4799727
AD,Andhra Pradesh,Train,2016,0,25.78541445,87.4799727
AD,Andhra Pradesh,Automobile Vehicles,2016,3,25.78541445,87.4799727
AD,Andhra Pradesh,Passenger Vehicles,2016,3,25.78541445,87.4799727
AD,Andhra Pradesh,Private Vehicles,2016,0,25.78541445,87.4799727
AD,Andhra Pradesh,Goods carriers vehicles,2016,0,25.78541445,87.4799727
AD,Andhra Pradesh,Others ,2016,303,25.78541445,87.4799727
AD,Andhra Pradesh,School Buildings,2017,0,25.78541445,87.4799727
AD,Andhra Pradesh,Commercial Buildings,2017,10,25.78541445,87.4799727
AD,Andhra Pradesh,Residential Buildings,2017,388,25.78541445,87.4799727
AD,Andhra Pradesh,Government Buildings ,2017,0,25.78541445,87.4799727
AD,Andhra Pradesh,Mines,2017,0,25.78541445,87.4799727
AD,Andhra Pradesh,Factory Manufacturing,2017,0,25.78541445,87.4799727
AD,Andhra Pradesh,Other Factories ,2017,2,25.78541445,87.4799727
AD,Andhra Pradesh,Train,2017,5,25.78541445,87.4799727
AD,Andhra Pradesh,Automobile Vehicles,2017,11,25.78541445,87.4799727
AD,Andhra Pradesh,Passenger Vehicles,2017,11,25.78541445,87.4799727
AD,Andhra Pradesh,Private Vehicles,2017,0,25.78541445,87.4799727
AD,Andhra Pradesh,Goods carriers vehicles,2017,0,25.78541445,87.4799727
AD,Andhra Pradesh,Others ,2017,176,25.78541445,87.4799727
AD,Andhra Pradesh,School Buildings,2018,0,25.78541445,87.4799727
AD,Andhra Pradesh,Commercial Buildings,2018,0,30.71999697,76.78000565
AD,Andhra Pradesh,Residential Buildings,2018,512,30.71999697,76.78000565
AD,Andhra Pradesh,Government Buildings ,2018,0,30.71999697,76.78000565
AD,Andhra Pradesh,Mines,2018,0,30.71999697,76.78000565
AD,Andhra Pradesh,Factory Manufacturing,2018,0,30.71999697,76.78000565
AD,Andhra Pradesh,Other Factories ,2018,0,30.71999697,76.78000565
AD,Andhra Pradesh,Train,2018,2,30.71999697,76.78000565
AD,Andhra Pradesh,Automobile Vehicles,2018,22,30.71999697,76.78000565
AD,Andhra Pradesh,Passenger Vehicles,2018,15,30.71999697,76.78000565
AD,Andhra Pradesh,Private Vehicles,2018,0,30.71999697,76.78000565
AD,Andhra Pradesh,Goods carriers vehicles,2018,0,30.71999697,76.78000565
AD,Andhra Pradesh,Others ,2018,133,30.71999697,76.78000565
AD,Andhra Pradesh,School Buildings,2019,1,30.71999697,76.78000565
AD,Andhra Pradesh,Commercial Buildings,2019,1,30.71999697,76.78000565
AD,Andhra Pradesh,Residential Buildings,2019,208,30.71999697,76.78000565
AD,Andhra Pradesh,Government Buildings ,2019,0,30.71999697,76.78000565
AD,Andhra Pradesh,Mines,2019,0,30.71999697,76.78000565
AD,Andhra Pradesh,Factory Manufacturing,2019,0,30.71999697,76.78000565
AD,Andhra Pradesh,Other Factories ,2019,0,30.71999697,76.78000565
AD,Andhra Pradesh,Train,2019,6,30.71999697,76.78000565
AD,Andhra Pradesh,Automobile Vehicles,2019,10,30.71999697,76.78000565
AD,Andhra Pradesh,Passenger Vehicles,2019,9,22.09042035,82.15998734
AD,Andhra Pradesh,Private Vehicles,2019,1,22.09042035,82.15998734
AD,Andhra Pradesh,Goods carriers vehicles,2019,0,22.09042035,82.15998734
